,CollgCr,Veenker,Crawfor,NoRidge,Mitchel,Somerst,NWAmes,OldTown,BrkSide,Sawyer,NridgHt,NAmes,SawyerW,IDOTRR,MeadowV,Edwards,Timber,Gilbert,StoneBr,ClearCr,NPkVill,Blmngtn,BrDale,SWISU
32,LotConfig_FR2,MoSold,LotShape,LandSlope,BldgType_Twnhs,YearBuilt,GarageType,EnclosedPorch,FullBath,OpenPorchSF,BsmtFinType1,Exterior2nd_Wd Sdng,MoSold,Fence,MasVnrType_None,2ndFlrSF,RoofStyle_Hip,OverallCond,LotFrontage,3SsnPorch,,GarageYrBlt,,SaleCondition
33,GarageFinish,MSSubClass,Exterior1st_Wd Sdng,YrSold,MasVnrArea,Fireplaces,TotRmsAbvGrd,MoSold,MiscFeature_Shed,2ndFlrSF,Exterior2nd_VinylSd,Exterior2nd_VinylSd,3SsnPorch,Electrical_SBrkr,,BedroomAbvGr,SaleType_WD,MiscVal,ScreenPorch,GarageFinish,,SaleCondition,,Exterior1st_MetalSd
34,SaleCondition,LotConfig_CulDSac,Exterior2nd_MetalSd,BsmtExposure,ScreenPorch,ExterQual,LotShape,Exterior2nd_MetalSd,LotConfig_FR2,YrSold,BedroomAbvGr,LandContour_HLS,1stFlrSF,LandContour_Lvl,,1stFlrSF,LotConfig_Inside,MSSubClass,YrSold,RoofMatl_Metal,,YearRemodAdd,,BsmtUnfSF
35,Fence,LotFrontage,BsmtQual,OverallCond,BedroomAbvGr,GarageFinish,Exterior1st_HdBoard,Condition1_Feedr,BsmtUnfSF,MoSold,FireplaceQu,2ndFlrSF,WoodDeckSF,GarageType,,BsmtFinType1,ExterQual,BsmtExposure,OverallCond,LandContour_HLS,,,,FireplaceQu
36,SaleType_New,Fireplaces,MasVnrArea,SaleCondition,BsmtFinSF2,WoodDeckSF,Exterior2nd_Wd Sdng,Condition1_Norm,Condition2_Norm,ScreenPorch,KitchenQual,Fence,Fireplaces,GarageFinish,,BsmtFullBath,BsmtUnfSF,GarageType,Foundation_PConc,ScreenPorch,,,,WoodDeckSF
37,OverallCond,Exterior1st_WdShing,3SsnPorch,RoofStyle_Hip,OpenPorchSF,MasVnrType_None,BsmtFinType1,LandContour_Lvl,Exterior2nd_HdBoard,BsmtCond,SaleType_ConLw,MasVnrType_None,GarageYrBlt,YrSold,,YrSold,OpenPorchSF,Exterior2nd_VinylSd,MoSold,BsmtFinSF2,,,,HouseStyle_2Story
38,SaleType_WD,RoofMatl_WdShngl,SaleType_WD,BsmtFinType1,Condition1_Norm,GarageType,Exterior2nd_HdBoard,Heating_GasW,WoodDeckSF,RoofStyle_Hip,GarageYrBlt,LotConfig_CulDSac,LandSlope,GarageCond,,SaleCondition,MasVnrType_Stone,FullBath,OpenPorchSF,KitchenQual,,,,BsmtQual
39,ExterCond,,GarageYrBlt,BedroomAbvGr,GarageQual,LotConfig_Inside,Functional,Electrical_SBrkr,KitchenQual,MasVnrType_Stone,BldgType_TwnhsE,ExterCond,BsmtFinType2,BsmtFinType1,,GarageCars,LandSlope,SaleType_New,Exterior1st_VinylSd,LandContour_Lvl,,,,OverallCond
40,BsmtCond,,KitchenQual,Exterior1st_ImStucc,Exterior1st_Plywood,HouseStyle_2Story,BsmtExposure,WoodDeckSF,Functional,Exterior2nd_Plywood,ScreenPorch,GarageYrBlt,Condition1_RRNe,Functional,,Exterior1st_Plywood,Exterior2nd_HdBoard,HalfBath,HeatingQC,Exterior1st_WdShing,,,,FullBath
41,MasVnrType_None,,SaleType_CWD,LotConfig_CulDSac,BldgType_TwnhsE,SaleType_WD,HouseStyle_1Story,MSSubClass,MoSold,LotShape,HalfBath,YrSold,Condition1_RRAe,BsmtUnfSF,,LandContour_HLS,ExterCond,Exterior2nd_MetalSd,LotShape,Condition1_Norm,,,,Foundation_CBlock
42,Exterior1st_MetalSd,,Foundation_CBlock,BsmtFinType2,FullBath,BldgType_TwnhsE,HalfBath,HouseStyle_2Story,MiscVal,Fence,GarageType,3SsnPorch,ExterQual,ExterQual,,OverallQual,LandContour_HLS,MasVnrType_None,BsmtQual,Exterior2nd_Plywood,,,,YrSold
